Compilation;Date;Value;plotParameter
"CAPP 2012 - SCO + Bitumen";1983-03-21;160397.09112266;2
"CAPP 2012 - SCO + Bitumen";1983-04-12;163318.84926988;2
"CAPP 2012 - SCO + Bitumen";1983-05-04;166240.60741709;2
"CAPP 2012 - SCO + Bitumen";1983-05-26;169162.36556431;2
"CAPP 2012 - SCO + Bitumen";1983-06-17;172084.12371152;2
"CAPP 2012 - SCO + Bitumen";1983-07-09;173804.43549382;2
"CAPP 2012 - SCO + Bitumen";1983-07-31;173422.21613749;2
"CAPP 2012 - SCO + Bitumen";1983-08-22;173039.99678117;2
"CAPP 2012 - SCO + Bitumen";1983-09-13;172657.77742484;2
"CAPP 2012 - SCO + Bitumen";1983-10-05;172275.55806852;2
"CAPP 2012 - SCO + Bitumen";1983-10-27;171893.33871219;2
"CAPP 2012 - SCO + Bitumen";1983-11-18;171511.11935587;2
"CAPP 2012 - SCO + Bitumen";1983-12-10;171128.89999955;2
"CAPP 2012 - SCO + Bitumen";1984-01-01;170746.68064322;2
"CAPP 2012 - SCO + Bitumen";1984-01-23;170364.46128691;2
"CAPP 2012 - SCO + Bitumen";1984-02-14;169982.24193058;2
"CAPP 2012 - SCO + Bitumen";1984-03-07;169600.02257426;2
"CAPP 2012 - SCO + Bitumen";1984-03-29;169217.80321793;2
"CAPP 2012 - SCO + Bitumen";1984-04-20;168835.58386161;2
"CAPP 2012 - SCO + Bitumen";1984-05-12;168453.36450529;2
"CAPP 2012 - SCO + Bitumen";1984-06-03;168071.14514896;2
"CAPP 2012 - SCO + Bitumen";1984-06-25;167688.92579264;2
"CAPP 2012 - SCO + Bitumen";1984-07-17;169755.67802005;2
"CAPP 2012 - SCO + Bitumen";1984-08-08;172740.79459137;2
"CAPP 2012 - SCO + Bitumen";1984-08-30;175725.91116267;2
"CAPP 2012 - SCO + Bitumen";1984-09-21;178711.02773398;2
"CAPP 2012 - SCO + Bitumen";1984-10-13;181696.14430529;2
"CAPP 2012 - SCO + Bitumen";1984-11-04;184681.2608766;2
"CAPP 2012 - SCO + Bitumen";1984-11-26;187666.37744791;2
"CAPP 2012 - SCO + Bitumen";1984-12-18;190651.49401922;2
"CAPP 2012 - SCO + Bitumen";1985-01-09;193636.61059053;2
"CAPP 2012 - SCO + Bitumen";1985-01-31;196621.72716184;2
"CAPP 2012 - SCO + Bitumen";1985-02-22;199606.84373315;2
"CAPP 2012 - SCO + Bitumen";1985-03-16;202591.96030446;2
"CAPP 2012 - SCO + Bitumen";1985-04-07;205577.07687578;2
"CAPP 2012 - SCO + Bitumen";1985-04-29;208562.19344708;2
"CAPP 2012 - SCO + Bitumen";1985-05-21;211547.31001839;2
"CAPP 2012 - SCO + Bitumen";1985-06-12;214532.4265897;2
"CAPP 2012 - SCO + Bitumen";1985-07-04;217611.73098222;2
"CAPP 2012 - SCO + Bitumen";1985-07-26;221287.55824244;2
"CAPP 2012 - SCO + Bitumen";1985-08-17;224963.38550267;2
"CAPP 2012 - SCO + Bitumen";1985-09-08;228639.21276288;2
"CAPP 2012 - SCO + Bitumen";1985-09-30;232315.0400231;2
"CAPP 2012 - SCO + Bitumen";1985-10-22;235990.86728332;2
"CAPP 2012 - SCO + Bitumen";1985-11-13;239666.69454353;2
"CAPP 2012 - SCO + Bitumen";1985-12-05;243342.52180375;2
"CAPP 2012 - SCO + Bitumen";1985-12-27;247018.34906397;2
"CAPP 2012 - SCO + Bitumen";1986-01-18;250694.17632418;2
"CAPP 2012 - SCO + Bitumen";1986-02-09;254370.0035844;2
"CAPP 2012 - SCO + Bitumen";1986-03-03;258045.83084462;2
"CAPP 2012 - SCO + Bitumen";1986-03-25;261721.65810484;2
"CAPP 2012 - SCO + Bitumen";1986-04-16;265397.48536505;2
"CAPP 2012 - SCO + Bitumen";1986-05-08;269073.31262527;2
"CAPP 2012 - SCO + Bitumen";1986-05-30;272749.1398855;2
"CAPP 2012 - SCO + Bitumen";1986-06-21;276424.96714572;2
"CAPP 2012 - SCO + Bitumen";1986-07-13;278699.16631759;2
"CAPP 2012 - SCO + Bitumen";1986-08-04;279805.34208254;2
"CAPP 2012 - SCO + Bitumen";1986-08-26;280911.51784749;2
"CAPP 2012 - SCO + Bitumen";1986-09-17;282017.69361243;2
"CAPP 2012 - SCO + Bitumen";1986-10-09;283123.86937736;2
"CAPP 2012 - SCO + Bitumen";1986-10-31;284230.04514231;2
"CAPP 2012 - SCO + Bitumen";1986-11-22;285336.22090725;2
"CAPP 2012 - SCO + Bitumen";1986-12-14;286442.3966722;2
"CAPP 2012 - SCO + Bitumen";1987-01-05;287548.57243713;2
"CAPP 2012 - SCO + Bitumen";1987-01-27;288654.74820208;2
"CAPP 2012 - SCO + Bitumen";1987-02-18;289760.92396702;2
"CAPP 2012 - SCO + Bitumen";1987-03-12;290867.09973197;2
"CAPP 2012 - SCO + Bitumen";1987-04-03;291973.27549691;2
"CAPP 2012 - SCO + Bitumen";1987-04-25;293079.45126185;2
"CAPP 2012 - SCO + Bitumen";1987-05-17;294185.62702679;2
"CAPP 2012 - SCO + Bitumen";1987-06-08;295291.80279174;2
"CAPP 2012 - SCO + Bitumen";1987-06-30;296397.97855668;2
"CAPP 2012 - SCO + Bitumen";1987-07-22;298411.90062272;2
"CAPP 2012 - SCO + Bitumen";1987-08-13;300469.04870309;2
"CAPP 2012 - SCO + Bitumen";1987-09-04;302526.19678347;2
"CAPP 2012 - SCO + Bitumen";1987-09-26;304583.34486384;2
"CAPP 2012 - SCO + Bitumen";1987-10-18;306640.49294422;2
"CAPP 2012 - SCO + Bitumen";1987-11-09;308697.64102459;2
"CAPP 2012 - SCO + Bitumen";1987-12-01;310754.78910497;2
"CAPP 2012 - SCO + Bitumen";1987-12-23;312811.93718534;2
"CAPP 2012 - SCO + Bitumen";1988-01-14;314869.08526571;2
